Godina,Grad,Sport,Disciplina,Takmicar,Zemlja,Pol,Dogadjaj,Medalja
"1928,St.Moritz,Ice Hockey,Ice Hockey,""SULLIVAN, Joseph Taylor"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""TAYLOR, Ross Croft"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""TROTTIER, David"",CAN,Muskarac,Ice Hockey,Zlato"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""ABRAHAMSSON, Carl"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""BERGMAN, Emil"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""HOLMQVIST, Birger"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""JOHANSSON, Gustaf"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""JOHANSSON, Henry"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""JOHANSSON, Nils"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""KARLBERG, Ernst"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""LARSSON, Erik"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""LINDE, Bertil"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""ÖBERG, Sigfrid"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""PETERSEN, Wilhelm"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Ice Hockey,Ice Hockey,""SUCKSDORFF, Kurt"",SWE,Muskarac,Ice Hockey,Srebro"
"1928,St.Moritz,Skating,Figure skating,""VAN ZEEBROECK, Robert"",BEL,Muskarac,Individual,Bronza"
"1928,St.Moritz,Skating,Figure skating,""GRAFSTRÖM, Gillis"",SWE,Muskarac,Individual,Zlato"
"1928,St.Moritz,Skating,Figure skating,""BÖCKL, Willy"",AUT,Muskarac,Individual,Srebro"
"1928,St.Moritz,Skating,Figure skating,""LOUGHRAN, Beatrix"",USA,Zena,Individual,Bronza"
"1928,St.Moritz,Skating,Figure skating,""HENIE, Sonja"",NOR,Zena,Individual,Zlato"
"1928,St.Moritz,Skating,Figure skating,""BURGER, Fritzi"",AUT,Zena,Individual,Srebro"
"1928,St.Moritz,Skating,Figure skating,""BRUNNER, Melitta"",AUT,Zena,Pairs,Bronza"
"1928,St.Moritz,Skating,Figure skating,""WREDE, Ludwig"",AUT,Muskarac,Pairs,Bronza"
"1928,St.Moritz,Skating,Figure skating,""BRUNET, Andrée"",FRA,Zena,Pairs,Zlato"
"1928,St.Moritz,Skating,Figure skating,""BRUNET, Pierre"",FRA,Muskarac,Pairs,Zlato"
"1928,St.Moritz,Skating,Figure skating,""KAISER, Otto"",AUT,Muskarac,Pairs,Srebro"
"1928,St.Moritz,Skating,Figure skating,""SCHOLZ, Lilly"",AUT,Zena,Pairs,Srebro"
"1928,St.Moritz,Skating,Speed skating,""BALLANGRUD, Ivar"",NOR,Muskarac,1500M,Bronza"
"1928,St.Moritz,Skating,Speed skating,""THUNBERG, Clas"",FIN,Muskarac,1500M,Zlato"
"1928,St.Moritz,Skating,Speed skating,""EVENSEN, Bernt"",NOR,Muskarac,1500M,Srebro"
"1928,St.Moritz,Skating,Speed skating,""EVENSEN, Bernt"",NOR,Muskarac,5000M,Bronza"
"1928,St.Moritz,Skating,Speed skating,""BALLANGRUD, Ivar"",NOR,Muskarac,5000M,Zlato"
"1928,St.Moritz,Skating,Speed skating,""SKUTNABB, Julius"",FIN,Muskarac,5000M,Srebro"
"1928,St.Moritz,Skating,Speed skating,""FRIMAN, Jaakko"",FIN,Muskarac,500M,Bronza"
"1928,St.Moritz,Skating,Speed skating,""LARSEN, Roald"",NOR,Muskarac,500M,Bronza"
"1928,St.Moritz,Skating,Speed skating,""FARRELL, John O"",USA,Muskarac,500M,Bronza"
"1928,St.Moritz,Skating,Speed skating,""THUNBERG, Clas"",FIN,Muskarac,500M,Zlato"
"1928,St.Moritz,Skating,Speed skating,""EVENSEN, Bernt"",NOR,Muskarac,500M,Zlato"
"1928,St.Moritz,Skiing,Cross Country Skiing,""ÖDEGAARD, Reidar"",NOR,Muskarac,18KM,Bronza"
"1928,St.Moritz,Skiing,Cross Country Skiing,""GROTTUMSBRAATEN, Johan"",NOR,Muskarac,18KM,Zlato"
"1928,St.Moritz,Skiing,Cross Country Skiing,""HEGGE, Ole"",NOR,Muskarac,18KM,Srebro"
"1928,St.Moritz,Skiing,Cross Country Skiing,""ANDERSSON, Volger"",SWE,Muskarac,50KM,Bronza"
"1928,St.Moritz,Skiing,Cross Country Skiing,""HEDLUND, Per Erik"",SWE,Muskarac,50KM,Zlato"
"1928,St.Moritz,Skiing,Cross Country Skiing,""JONSSON, Gustav"",SWE,Muskarac,50KM,Srebro"
"1928,St.Moritz,Skiing,Nordic Combined,""SNERSRUD, John"",NOR,Muskarac,Individual,Bronza"
"1928,St.Moritz,Skiing,Nordic Combined,""GROTTUMSBRAATEN, Johan"",NOR,Muskarac,Individual,Zlato"
"1928,St.Moritz,Skiing,Nordic Combined,""VINJARENGEN, Hans"",NOR,Muskarac,Individual,Srebro"
"1928,St.Moritz,Skiing,Ski Jumping,""BURKERT, Rudolf"",TCH,Muskarac,K90 Individual (70M),Bronza"
"1928,St.Moritz,Skiing,Ski Jumping,""ANDERSEN, Alf"",NOR,Muskarac,K90 Individual (70M),Zlato"
"1928,St.Moritz,Skiing,Ski Jumping,""RUUD, Sigmund"",NOR,Muskarac,K90 Individual (70M),Srebro"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""BREHME, Albert"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""GRAU, Fritz"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""HOPMANN, Helmut"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""HUBER, Sebastian"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""HUTH, Werner"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""KILIAN, Hanns"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""KROTKI, Rudolf"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""LUDWIG, Max"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""MEHLHHORN, Hans"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""ROSSNER, Heinrich"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""ZAHN, Werner"",GER,Muskarac,Four-Man,Bronza"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""EAGAN, Edward"",USA,Muskarac,Four-Man,Zlato"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""FISKE, William"",USA,Muskarac,Four-Man,Zlato"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""GRAY, Clifford Barton"",USA,Muskarac,Four-Man,Zlato"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""O'BRIEN, Jay James"",USA,Muskarac,Four-Man,Zlato"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""STEVENS, J. Hubert"",USA,Muskarac,Four-Man,Zlato"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""ASHFORTH, Albert"",USA,Muskarac,Four-Man,Srebro"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""BRYANT, Precy D."",USA,Muskarac,Four-Man,Srebro"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""GOODRICH, Hunter"",USA,Muskarac,Four-Man,Srebro"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""HACKNEY, CleMuskaract"",USA,Muskarac,Four-Man,Srebro"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""HOMBURGER, Henry A."",USA,Muskarac,Four-Man,Srebro"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""HORTON, Edmund C"",USA,Muskarac,Four-Man,Srebro"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""LIPSON, Howard S"",USA,Muskarac,Four-Man,Srebro"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""MARTIN, Harry G"",USA,Muskarac,Four-Man,Srebro"
"1932,Lake Placid,Bobsleigh,Bobsleigh,""STEVENS, Curtis"",USA,Muskarac,Four-Man,Srebro"
